Result_Num,Waku,Num,Horse_Name,Weight_for_Age,Jockey,Time,Popularity,Odds,Stable,Horse_Weight,Race_Id,Race_Date,Race_Time,Course,Weather,Course_Status,Top3,Horse_Sex,Horse_Old,Race_Month,Racetime_Class
13,8,16,カツノトゥウェルヴ,55.0,松岡,75.0,8,73.0,美浦伊藤伸,470,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,2,3,01,0
16,8,15,キャプティバ,57.0,黛,75.6,16,556.3,美浦佐藤吉,492,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,1,3,01,0
2,2,3,グリューネベルグ,55.0,丹内,72.7,6,12.0,美浦青木,444,202506010101,20250105,10:05,ダ1200m(右),晴,良,1,2,3,01,0
9,4,7,コナベイション,57.0,横山武,73.8,5,11.6,美浦伊藤圭,460,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,1,3,01,0
11,1,1,ショウブダッシュ,52.0,石神道,74.2,15,231.3,美浦青木,432,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,2,3,01,0
6,1,2,ジルクン,53.0,小林美,73.5,7,50.1,美浦鈴木慎,414,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,1,3,01,0
7,4,8,セイリオス,55.0,杉原,73.7,14,211.8,美浦宮田,472,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,2,3,01,0
8,2,4,タッカーバリアント,57.0,戸崎圭,73.7,4,8.4,美浦田島,466,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,1,3,01,0
5,6,12,ダイチラポール,54.0,長浜,73.4,3,7.3,美浦蛯名利,476,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,1,3,01,0
10,3,5,チャンピオンリボン,55.0,木幡初,74.0,13,196.9,美浦竹内,422,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,2,3,01,0
15,3,6,ニシノティターニア,55.0,池添,75.2,9,75.8,美浦上原博,424,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,2,3,01,0
14,7,14,ノアファースト,57.0,武藤,75.0,12,189.5,美浦小笠,454,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,1,3,01,0
12,5,9,ビスケットマリー,55.0,柴田大,74.8,10,131.9,美浦和田雄,420,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,2,3,01,0
1,6,11,ピッツァナポリ,55.0,大野,72.2,1,2.5,美浦新開,460,202506010101,20250105,10:05,ダ1200m(右),晴,良,1,2,3,01,0
4,5,10,ルックアトミー,55.0,菊沢,73.1,2,2.8,美浦菊沢,494,202506010101,20250105,10:05,ダ1200m(右),晴,良,0,2,3,01,0
3,7,13,ロッキンミー,52.0,佐藤,73.0,11,156.0,美浦杉浦,436,202506010101,20250105,10:05,ダ1200m(右),晴,良,1,2,3,01,0
5,7,13,アイオリア,57.0,横山和,117.4,1,2.3,美浦奥村武,520,202506010102,20250105,10:35,ダ1800m(右),晴,良,0,1,3,01,0
12,3,5,アイスヴィレッジ,57.0,菅原明,118.2,8,57.0,美浦鈴木慎,490,202506010102,20250105,10:35,ダ1800m(右),晴,良,0,1,3,01,0
