,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.1659146149953206,0.1401926854458619,0.030226866404215496,0.002877646269626133,0.7,0.01,4,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",0.8136071057771613,0.8135948650624348,0.8099208704318926,0.8123742804238296,0.00173483003973998,9
1,1.2284301122029622,0.11031016193177763,0.03751619656880697,0.011071986876499976,0.7,0.01,4,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.8}",0.8137249798985462,0.813759892363455,0.8098243861123646,0.812436419458122,0.0018470414847466489,8
2,1.113356113433838,0.06702872069190259,0.024990955988566082,0.0010799819753983793,0.7,0.01,4,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.9}",0.813656020083697,0.8137294588547415,0.8099696974788732,0.8124517254724372,0.0017553148879711575,7
3,1.857254981994629,0.10434449075912773,0.043949127197265625,0.010469931911217688,0.7,0.01,6,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.7}",0.8113351373157927,0.8115670013689076,0.8074817130652656,0.8101279505833219,0.0018735652263814093,18
4,1.959824562072754,0.21651652078835318,0.03924457232157389,0.007553470633246315,0.7,0.01,6,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8}",0.8113239338562579,0.8117852475855094,0.8074698255084778,0.8101930023167484,0.0019347646775126628,15
5,1.8221368789672852,0.16494253486016935,0.0351713498433431,0.0022879598445686503,0.7,0.01,6,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.9}",0.8111521566722503,0.8115580953192764,0.8072253404448055,0.8099785308121108,0.0019538405675752026,22
6,5.811576048533122,2.3584983011391896,0.04926458994547526,0.0035284395566714966,0.7,0.01,8,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.7}",0.8097088381420785,0.8099870708126572,0.8058258995621121,0.808507269505616,0.0018994142843147762,28
7,4.609307209650676,0.6347919189859865,0.04737687110900879,0.0041123736737476435,0.7,0.01,8,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.8}",0.8094370121775039,0.8096834220794897,0.8058030746143735,0.8083078362904557,0.0017739884912115849,29
8,4.335763851801555,0.31076561043793954,0.05913233757019043,0.012863556975324658,0.7,0.01,8,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.9}",0.8093969200574137,0.8094091188405476,0.8054421980981529,0.8080827456653714,0.001867155732414977,32
9,1.2442669073740642,0.35215530832018516,0.029541571935017902,0.0011012611434663567,0.7,0.05,4,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7}",0.8109975350270374,0.8113525102367929,0.8083415778336467,0.8102305410324924,0.0013435372032636133,14
10,1.5868828296661377,0.24477294663883886,0.03265277544657389,0.0029672264017008903,0.7,0.05,4,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8}",0.81102597678509,0.8111871960354006,0.8082093635265475,0.8101408454490127,0.0013673489494334403,17
11,1.125483751296997,0.08191755029683538,0.027988990147908527,0.0007266477144521792,0.7,0.05,4,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.9}",0.8112474539412682,0.8109500761881594,0.8080574451416126,0.8100849917570133,0.0014388229773506823,20
12,1.9547086556752522,0.10798230073392226,0.05189681053161621,0.011336110985069528,0.7,0.05,6,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.7}",0.8082727759843981,0.8080448888118269,0.8055041144796173,0.8072739264252808,0.0012548994337171263,35
13,1.9547052383422852,0.17443594158972148,0.04108055432637533,0.0019715061509467504,0.7,0.05,6,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.8}",0.8086078877572298,0.8073348743914639,0.8049652534726945,0.8069693385404628,0.0015093946858466766,38
14,2.0227320194244385,0.135643265625434,0.04179231325785319,0.0011413102832517783,0.7,0.05,6,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.9}",0.8081386655088721,0.8078630149416434,0.8049819746257254,0.8069945516920803,0.001427549332438091,37
15,3.325805981953939,0.05501927556519855,0.04927245775858561,0.005539370255864919,0.7,0.05,8,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.7}",0.8056460971443866,0.8058293735160051,0.8029687917225296,0.8048147541276404,0.0013074352649138413,53
16,3.514894406000773,0.2820793481404125,0.04765915870666504,0.0025532485374400687,0.7,0.05,8,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8}",0.8055298682862901,0.8054594607280243,0.802409571122664,0.8044663000456594,0.001454610991085456,56
17,3.2666990756988525,0.10954854351818533,0.05044205983479818,0.00479712170199313,0.7,0.05,8,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.9}",0.8051358613843588,0.8054357748953727,0.8022792770113326,0.8042836377636879,0.0014225759611140166,57
18,0.9718910058339437,0.028983587903776403,0.026701609293619793,0.0007322937638249562,0.7,0.1,4,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7}",0.8059724849389774,0.8057286118983596,0.8034317619577537,0.8050442862650303,0.001144565272975843,49
19,1.0611457029978435,0.17666952328458865,0.030296881993611652,0.0019318943971307892,0.7,0.1,4,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.8}",0.8058869831107446,0.8052496471754397,0.8034047390647847,0.8048471231169897,0.001052585100011431,52
20,1.0426582495371501,0.06685662398227162,0.030970335006713867,0.0054569726921225,0.7,0.1,4,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9}",0.8066127075334117,0.8057824366151117,0.8038340010357977,0.8054097150614404,0.0011646153778247935,47
21,1.6825409730275471,0.06695745259494287,0.03853980700174967,0.0016831619565265432,0.7,0.1,6,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.7}",0.8018458192279685,0.8017096375524481,0.7990501080669625,0.800868521615793,0.0012870139181103515,69
22,1.7944616476694744,0.17478572864562575,0.040141900380452476,0.0019939807935063225,0.7,0.1,6,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8}",0.8018683508383536,0.8010847641279267,0.7992802335976861,0.8007444495213222,0.001083650692939218,70
23,2.074270566304525,0.17169257254779122,0.043375889460245766,0.003597376771187272,0.7,0.1,6,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.9}",0.8020256660366761,0.8017908535305052,0.7991576599976141,0.8009913931882652,0.0013001839072825925,68
24,4.279442469278972,0.7846194585480669,0.05377793312072754,0.006180935796180105,0.7,0.1,8,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7}",0.7971812153190692,0.7979897855346006,0.7953029453465736,0.7968246487334145,0.0011255020647110707,78
25,3.8183173338572183,0.23434725729024122,0.05289602279663086,0.0066323531311448525,0.7,0.1,8,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.8}",0.797838217171426,0.7969186496157392,0.7949780901579718,0.7965783189817124,0.0011921829665548875,81
26,3.275512218475342,0.12719772244475488,0.05011908213297526,0.0022573598683294713,0.7,0.1,8,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.798705351477166,0.7978214666035409,0.7957957216550694,0.7974408465785922,0.0012179600781504968,76
27,1.3750282128651936,0.05958179273890276,0.02697134017944336,0.001115875992057903,0.8,0.01,4,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",0.8147229672571242,0.814559971431432,0.8108629250969395,0.8133819545951653,0.0017824653562780078,5
28,1.3053497473398845,0.15959745578886986,0.0269467830657959,0.0031130888413489007,0.8,0.01,4,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.8}",0.8149524952791316,0.8146041496749001,0.8110224172195494,0.8135263540578603,0.0017762527846912264,1
29,1.3580722014109294,0.27592720432390305,0.02905122439066569,0.003680883046677497,0.8,0.01,4,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.9}",0.8148967395021819,0.8145374387175839,0.8110602417654926,0.8134981399950861,0.0017300838316575962,4
