,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2785516579945882,0.07863364092147693,0.015182574590047201,0.002345874732933511,0.7,0.01,4,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",0.8160181933324768,0.8158284650128725,0.8126675107332266,0.8148380563595253,0.0015367607590205856,40
1,0.3080434799194336,0.11991452136721216,0.0168917973836263,0.0012104315094853396,0.7,0.01,4,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.8}",0.8159648905537095,0.8158394290209429,0.8125915029840846,0.8147986075195789,0.0015614988466216288,41
2,0.21607033411661783,0.0169318563531288,0.015701850255330402,0.0005175617743098475,0.7,0.01,4,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.9}",0.8159148143006665,0.8157694043643275,0.8125101043405025,0.8147314410018321,0.001571843595828778,45
3,0.3921523094177246,0.04915465074568923,0.021579265594482422,0.0029466291826169746,0.7,0.01,6,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.7}",0.8158025159776693,0.8156213328753049,0.8125199723810518,0.814647940411342,0.0015065175698938931,47
4,0.3436404863993327,0.017759235825795985,0.02035355567932129,0.003994280703030186,0.7,0.01,6,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8}",0.8158003664318036,0.8155987758852717,0.8125339644282586,0.8146443689151114,0.001494548986753475,48
5,0.3177369435628255,0.024481661837853424,0.019070148468017578,0.0018931551871525806,0.7,0.01,6,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.9}",0.8156327768897672,0.8155590181144613,0.8124468261650282,0.8145462070564188,0.0014847918338016359,51
6,0.514579693476359,0.14340776513763787,0.021038929621378582,0.001403475739193014,0.7,0.01,8,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.7}",0.8150961131916072,0.8148695049326186,0.8122810967168552,0.8140822382803604,0.0012769549782195974,60
7,0.7345373630523682,0.4541434956281891,0.02572035789489746,0.0007161765793709182,0.7,0.01,8,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.8}",0.815041734536444,0.8149803323394765,0.8121684132285483,0.8140634933681564,0.001340258459924957,62
8,0.5923856099446615,0.12571869486818876,0.022566715876261394,0.00015186625114078017,0.7,0.01,8,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 8, 'subsample': 0.9}",0.8148958203175277,0.8149798501261588,0.8119875936901864,0.8139544213779576,0.0013911802225023196,66
9,0.32243919372558594,0.15777501670178723,0.015410741170247396,0.0005568258074247194,0.7,0.05,4,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.7}",0.8170235143059539,0.8165635843192669,0.8140250891410605,0.815870729255427,0.001318502805453408,7
10,0.24616463979085287,0.03322280125175594,0.017464876174926758,0.004621486406138923,0.7,0.05,4,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8}",0.8171823765593604,0.81655938343574,0.8138778520609802,0.8158732040186935,0.001433667135793724,6
11,0.359055757522583,0.06245527368104856,0.015104929606119791,0.0012848019872684577,0.7,0.05,4,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.9}",0.8170773324019281,0.8166346660934074,0.813883945923641,0.8158653148063255,0.0014126465356740217,8
12,0.3518358866373698,0.07293295282002736,0.01961231231689453,0.00015647174790889363,0.7,0.05,6,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.7}",0.8165413473334947,0.8159647393792826,0.8134698788810917,0.8153253218646229,0.00133294678114991,32
13,0.6864449977874756,0.6025420120117835,0.019616365432739258,0.0011727900300178744,0.7,0.05,6,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.8}",0.8166650333943427,0.8159022822717158,0.8134093220865157,0.8153255459175247,0.0013902955672955076,31
14,0.29927921295166016,0.04544143939551899,0.02045432726542155,0.0003308597273457638,0.7,0.05,6,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.9}",0.8166402319606282,0.8158373136824292,0.8134693293078202,0.8153156249836259,0.0013460498337086047,34
15,0.34628478686014813,0.05105103443919755,0.021513064702351887,0.002316533498733004,0.7,0.05,8,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.7}",0.8150657712703201,0.8146079577256098,0.811915080918054,0.8138629366379946,0.0013899651649613772,70
16,0.3776218096415202,0.025831702584355395,0.022548755009969074,0.00026491686228042075,0.7,0.05,8,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.8}",0.8150707401640743,0.8144280568472165,0.8119390359120375,0.8138126109744427,0.0013505488013623697,72
17,0.35208940505981445,0.05449665227885494,0.027989864349365234,0.008250090140602085,0.7,0.05,8,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 8, 'subsample': 0.9}",0.8154079429992345,0.8147607067941622,0.8122168639613009,0.8141285045848993,0.00137731770279109,58
18,0.25786129633585614,0.062185702112609736,0.015380064646402994,0.002402839937325655,0.7,0.1,4,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7}",0.81704176999733,0.8160983422618421,0.8138951503763022,0.8156784208784914,0.0013184724080049664,15
19,0.22557592391967773,0.09361607053015647,0.012932618459065756,0.000729254176453509,0.7,0.1,4,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.8}",0.8173631646219813,0.8162165562498215,0.8139208832067124,0.8158335346928384,0.0014311660677717212,10
20,0.534354050954183,0.31412288779513564,0.013506412506103516,0.0007518494515310325,0.7,0.1,4,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.9}",0.8170680180709982,0.8162192354579128,0.8141112816526975,0.8157995117272029,0.0012430335392142116,11
21,0.23928491274515787,0.025043342586351432,0.016444285710652668,0.000500683910608336,0.7,0.1,6,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.7}",0.8153724942513221,0.8146222310191271,0.8127039723815991,0.8142328992173494,0.0011236656327111062,55
22,0.24980775515238443,0.011963886570208577,0.016932566960652668,0.002081811129897974,0.7,0.1,6,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8}",0.8155741068671136,0.8144903638838195,0.8122687875998471,0.8141110861169268,0.001375784039008343,59
